@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
181,'2018/02/15 16:18:42:031',4,-32,96,832,-117.232002,-639.039978,854.080017,0,0,1
182,'2018/02/15 16:18:42:068',4,0,0,0,-120.496002,-486.399994,924.47998,0,0,1
183,'2018/02/15 16:18:42:099',4,-416,144,304,-122.655998,-326.720001,921.280029,0,0,1
184,'2018/02/15 16:18:42:124',4,0,0,0,-124.928001,-138.240005,943.679993,0,0,1
185,'2018/02/15 16:18:42:157',4,560,-496,-752,-125.519997,63.68,1015.679993,0,0,1
186,'2018/02/15 16:18:42:188',4,0,0,0,-123.183998,290.23999,1005.119995,0,0,1
187,'2018/02/15 16:18:42:217',4,320,-48,784,-120.624001,532.47998,941.119995,0,0,1
188,'2018/02/15 16:18:42:241',4,0,0,0,-115.152,746.559998,956.47998,0,0,1
189,'2018/02/15 16:18:42:274',4,-240,-16,32,-108.655998,850.880005,1045.119995,0,0,1
190,'2018/02/15 16:18:42:302',4,0,0,0,-104.112,818.880005,1143.359985,0,0,1
191,'2018/02/15 16:18:42:335',4,0,0,0,-95.695999,673.280029,1100.47998,0,0,1
192,'2018/02/15 16:18:42:367',4,0,0,0,-84.800003,497.600006,975.359985,0,0,1
193,'2018/02/15 16:18:42:393',4,0,0,0,-80.559998,328.320007,1040.640015,0,0,1
194,'2018/02/15 16:18:42:419',4,0,0,0,-89.648003,146.240005,1036.800049,0,0,1
